Task,Ground_Size,Seed,Algorithm,Strategy,Local_Search,Heuristic,Sorting,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,Solution_Set_Size
adult,111,0,EfficientBFS,traditional,False,ub2,d,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,18.7629337310791,1,1,11
adult,111,0,EfficientBFS,traditional,True,ub2,d,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,19.398484230041504,1,1,11
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,18.935816287994385,1,1,11
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,19.39891767501831,1,1,11
adult,111,0,EfficientBFS,density_gap,False,ub2,d,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,19.485719919204712,1,1,11
adult,111,0,EfficientBFS,density_gap,True,ub2,d,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,19.004926443099976,1,1,11
adult,111,0,EfficientBFS,probing,False,ub2,d,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,19.589224338531494,1,1,11
adult,111,0,EfficientBFS,probing,True,ub2,d,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,19.619570016860962,1,1,11
adult,111,0,EfficientBFS,traditional,False,ub2,d,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,19.40031123161316,1,1,11
adult,111,0,EfficientBFS,traditional,True,ub2,d,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,19.22330951690674,1,1,11
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,19.264687299728394,1,1,11
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,19.39765954017639,1,1,11
adult,111,0,EfficientBFS,density_gap,False,ub2,d,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,18.962567567825317,1,1,12
adult,111,0,EfficientBFS,density_gap,True,ub2,d,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,19.06404423713684,1,1,12
adult,111,0,EfficientBFS,probing,False,ub2,d,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,19.405967712402344,1,1,12
adult,111,0,EfficientBFS,probing,True,ub2,d,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,19.254475116729736,1,1,12
adult,111,0,EfficientBFS,traditional,False,ub2,d,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,18.88255476951599,1,1,12
adult,111,0,EfficientBFS,traditional,True,ub2,d,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,19.01655387878418,1,1,12
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,19.1730694770813,1,1,12
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,19.13465642929077,1,1,12
